t,x,y,yaw
0.0,-0.0187,-0.0223,-0.0
4.02,0.0531,-0.0145,0.1193
4.06,0.1032,-0.0084,0.1318
4.16,0.0639,-0.01,0.0836
4.3,0.0447,-0.0176,0.0784
4.5,0.1011,-0.0008,0.1444
4.56,0.1413,0.0053,0.251
4.6,0.1675,0.019,0.3429
4.72,0.125,0.0098,0.3329
4.92,0.1705,0.0199,0.2575
5.02,0.2541,0.0598,0.3989
5.16,0.2327,0.064,0.4304
5.26,0.2096,0.0521,0.3933
5.5,0.2407,0.0586,0.3788
5.56,0.2738,0.0702,0.2892
5.6,0.2973,0.0803,0.2235
5.62,0.3319,0.0719,0.1623
5.7,0.4206,0.0395,-0.019
5.8,0.6707,0.1014,0.0018
5.82,0.6434,0.0994,-0.0125
5.9,0.5044,0.0912,0.1121
6.0,0.562,0.0992,0.1375
6.1,0.5781,0.1126,0.1312
6.4,0.6207,0.1121,0.1454
6.42,0.6756,0.1197,0.1456
6.5,0.7117,0.1195,0.1108
6.52,0.7433,0.1176,0.0925
6.6,0.7705,0.1112,-0.0575
6.62,0.7867,0.0977,-0.0968
6.7,0.816,0.0973,-0.1591
6.82,0.786,0.1029,-0.0804
7.4,0.8191,0.1175,0.005
7.44,0.8935,0.1233,0.0493
7.6,0.771,0.1181,0.0799
7.66,0.8017,0.1151,0.0456
7.76,0.8233,0.113,0.0442
8.02,0.9412,0.1184,0.0447
8.1,0.9687,0.1195,0.0461
8.26,0.9282,0.1212,0.047
8.96,1.0338,0.1395,0.1329
9.0,1.0868,0.1528,0.1417
9.06,0.9984,0.135,0.1066
9.26,0.9743,0.1297,0.1039
9.6,1.0238,0.1249,0.0198
9.66,1.0619,0.1247,0.0003
9.76,1.017,0.1261,0.0355
10.1,1.0794,0.1278,0.0382
10.16,1.1293,0.1292,0.0382
10.2,1.1704,0.1318,0.0402
10.3,1.2223,0.1337,0.0391
10.4,1.2681,0.135,0.0369
10.5,1.3264,0.137,0.0378
10.6,1.3722,0.138,0.038
10.7,1.4233,0.1452,0.0414
10.8,1.4734,0.1445,0.0395
10.9,1.5279,0.1457,0.0377
11.0,1.5755,0.1406,-0.0408
11.1,1.6241,0.13,-0.1055
11.2,1.6732,0.131,-0.051
11.3,1.7236,0.1291,-0.0382
11.32,1.7441,0.1281,-0.0382
11.42,1.7961,0.1272,-0.0383
