t,x,y,yaw
0.0,-0.0168,-0.0214,-0.0004
9.66,0.2228,0.0134,-0.0008
10.82,0.2581,0.0089,-0.0206
10.92,0.3205,-0.0055,-0.179
10.96,0.3634,-0.018,-0.2538
11.02,0.4549,-0.0639,-0.4057
11.06,0.4235,-0.0415,-0.2776
11.1,0.446,-0.049,-0.3092
11.2,0.5009,-0.0383,-0.1576
11.3,0.5477,-0.0552,-0.1741
11.4,0.5869,-0.0584,-0.1984
11.5,0.6338,-0.0825,-0.3313
11.6,0.6397,-0.1045,-0.3617
11.66,0.6147,-0.09,-0.2965
11.9,0.777,-0.0941,-0.132
11.92,0.8072,-0.0911,-0.116
12.0,0.7899,-0.1023,-0.1321
12.02,0.7663,-0.0993,-0.1303
12.1,0.6337,-0.0791,-0.1737
12.16,0.6671,-0.0867,-0.1818
12.3,0.688,-0.0952,-0.1758
12.62,0.7925,-0.1083,-0.1836
12.7,0.8277,-0.1163,-0.1813
12.8,0.8856,-0.1282,-0.1811
12.9,0.9229,-0.1275,-0.1726
13.0,0.9794,-0.1401,-0.1085
13.02,0.9989,-0.1352,-0.0787
13.1,1.0272,-0.1144,-0.0182
13.12,1.0482,-0.1138,-0.009
13.2,1.0832,-0.1333,-0.0782
13.22,1.105,-0.1348,-0.0783
13.3,1.1368,-0.1433,-0.1011
13.4,1.1861,-0.1491,-0.1008
13.5,1.2265,-0.1549,-0.1008
13.52,1.2481,-0.1555,-0.1009
13.6,1.2817,-0.1592,-0.1006
13.62,1.3028,-0.162,-0.1013
13.7,1.3344,-0.1682,-0.0953
13.8,1.3803,-0.1662,0.0064
13.82,1.4002,-0.1594,0.0341
13.9,1.4278,-0.1376,0.0825
14.0,1.4787,-0.1476,0.0211
14.02,1.4997,-0.146,0.0211
14.1,1.5309,-0.1514,0.0026
14.2,1.5819,-0.1514,0.0027
14.22,1.6023,-0.1515,0.0027
14.3,1.6339,-0.1523,0.0027
14.32,1.6552,-0.154,0.0027
14.4,1.6846,-0.1529,0.0031
14.5,1.7334,-0.1517,0.0032
14.52,1.7547,-0.1515,0.0032
14.6,1.7843,-0.1516,0.0033
14.7,1.8328,-0.1498,0.0034
14.8,1.8825,-0.1508,0.0035
14.9,1.9342,-0.1502,0.0031
14.92,1.9573,-0.1493,0.0031
15.0,1.9932,-0.1432,0.0106
15.1,2.0376,-0.142,0.0104
15.12,2.0589,-0.1429,0.0106
15.2,2.0942,-0.1467,0.0108
15.3,2.1415,-0.1425,0.0102
15.4,2.1897,-0.1427,0.0176
15.5,2.2464,-0.1352,0.13
15.52,2.2628,-0.1234,0.1634
15.6,2.2762,-0.0822,0.2937
15.62,2.2928,-0.0672,0.3336
15.66,2.2883,-0.0873,0.3308
15.72,2.3382,-0.0613,0.4497
15.82,2.3642,-0.016,0.5472
15.92,2.4013,0.0114,0.6482
16.0,2.4231,0.0265,0.7083
16.1,2.4544,0.0636,0.8089
16.12,2.461,0.0836,0.8479
16.2,2.4727,0.1163,0.9108
16.3,2.4977,0.1533,1.0126
16.32,2.5025,0.1746,1.053
16.4,2.5142,0.2009,1.1138
16.42,2.5178,0.2225,1.1541
16.52,2.5233,0.267,1.2571
16.62,2.5293,0.3145,1.3578
16.72,2.5294,0.365,1.4587
16.84,2.5196,0.4311,1.6003
16.86,2.5306,0.4027,1.5387
16.92,2.5152,0.4603,1.6577
17.02,2.494,0.5064,1.7499
17.12,2.4833,0.5539,1.7633
17.22,2.5095,0.6106,1.6754
17.32,2.4995,0.6626,1.6436
17.42,2.4986,0.7134,1.6409
17.52,2.5087,0.7568,1.5653
17.62,2.524,0.8248,1.454
17.72,2.5174,0.8731,1.5089
17.82,2.5159,0.9225,1.542
17.92,2.5199,0.9764,1.5418
18.02,2.5224,1.0225,1.542
18.12,2.522,1.0753,1.5422
18.22,2.5239,1.1237,1.5422
18.34,2.5263,1.1941,1.5475
18.36,2.5264,1.1637,1.5583
18.42,2.5189,1.2231,1.6134
18.5,2.5013,1.2452,1.7123
18.62,2.4985,1.3159,1.6748
18.72,2.5052,1.3731,1.6384
18.82,2.4948,1.4229,1.6383
18.92,2.4962,1.4682,1.6379
19.0,2.4975,1.4989,1.598
19.1,2.5087,1.554,1.4843
19.2,2.5125,1.6091,1.5191
19.3,2.5104,1.6411,1.5514
19.4,2.511,1.7005,1.5513
19.5,2.5123,1.7493,1.5511
19.52,2.5123,1.7699,1.5511
19.62,2.513,1.8209,1.551
19.72,2.513,1.8704,1.5512
