t,x,y,yaw
0.0,-0.0167,-0.0208,-0.0001
2.28,0.223,0.0138,-0.0005
7.0,0.3114,0.0577,0.0319
7.04,0.3113,0.0374,0.0174
7.14,0.2478,0.0209,-0.0044
7.2,0.2023,0.0164,-0.0037
7.24,0.2335,0.0161,-0.006
7.3,0.254,0.0195,-0.0052
7.6,0.2804,0.0176,0.0099
7.68,0.3114,0.0417,0.0891
7.74,0.354,0.0489,0.1193
7.84,0.3102,0.0308,0.0764
8.1,0.3397,0.0415,0.0856
8.2,0.3686,0.0638,0.1709
8.3,0.3522,0.035,0.1522
8.42,0.3967,0.0628,0.1695
8.5,0.4107,0.0778,0.2569
8.6,0.3942,0.0526,0.2235
8.98,0.4223,0.0687,0.1977
9.04,0.4607,0.0829,0.2694
9.24,0.4374,0.0651,0.2492
9.98,0.4918,0.0905,0.2415
10.04,0.5351,0.1038,0.2454
10.08,0.5668,0.126,0.3008
10.18,0.6182,0.143,0.3143
10.34,0.5975,0.1111,0.2478
10.48,0.5699,0.0831,0.2688
10.58,0.5908,0.1042,0.2553
10.68,0.618,0.1063,0.2439
10.74,0.6636,0.1262,0.2433
10.78,0.6936,0.1373,0.2425
10.8,0.7193,0.1579,0.2576
10.88,0.7784,0.2016,0.2919
10.94,0.7755,0.1777,0.2623
11.0,0.8193,0.2066,0.2798
11.04,0.8173,0.1838,0.2363
11.1,0.8723,0.2023,0.1807
11.2,0.8318,0.1793,0.1237
11.68,0.8562,0.1667,0.1878
11.78,0.8977,0.1791,0.0773
11.8,0.9279,0.1829,0.064
11.9,0.8835,0.167,0.0785
12.3,0.9225,0.1672,0.1033
12.4,0.9624,0.1719,0.0098
12.5,0.9249,0.1645,0.025
13.08,0.9551,0.1681,0.0557
13.1,0.9941,0.1782,0.0554
13.18,1.031,0.1826,0.0691
13.2,1.0693,0.198,0.0703
13.3,1.1192,0.2045,0.0855
13.38,1.1511,0.1975,0.0828
13.4,1.17,0.2088,0.0841
13.52,1.2139,0.2015,0.0686
13.58,1.2506,0.2032,0.0691
13.62,1.2781,0.2106,0.0682
13.64,1.2624,0.197,0.0608
13.7,1.3217,0.2108,0.0692
13.78,1.347,0.2211,0.0694
13.8,1.3672,0.2238,0.0631
13.9,1.4239,0.2043,-0.0798
13.98,1.4501,0.1704,-0.2193
14.02,1.4887,0.1591,-0.2733
14.1,1.5209,0.1674,-0.1988
14.18,1.5504,0.1771,-0.1247
14.2,1.5716,0.179,-0.1238
14.34,1.558,0.1604,-0.1196
14.4,1.5275,0.1574,-0.1103
15.7,1.5866,0.1535,-0.0216
15.78,1.701,0.1675,0.0295
15.8,1.6486,0.1672,0.0359
15.88,1.5985,0.1551,-0.0211
16.28,1.6219,0.1622,0.0072
16.3,1.6749,0.1705,0.0262
16.4,1.6303,0.1593,0.0769
17.2,1.6786,0.163,0.0209
17.28,1.7954,0.1716,0.016
17.3,1.7406,0.1664,0.0156
17.34,1.7046,0.1617,0.0217
17.48,1.672,0.1611,0.0236
18.34,1.7015,0.1597,0.0217
18.4,1.7609,0.1671,0.026
18.48,1.9093,0.1875,0.042
18.68,1.796,0.1717,0.0319
18.98,1.8213,0.1649,0.0273
19.0,1.843,0.1688,0.0368
19.08,1.8847,0.183,0.1329
19.1,1.9373,0.2032,0.166
19.28,1.8945,0.3979,0.308
19.4,1.9148,0.4115,0.3542
19.68,1.9445,0.4242,0.4007
19.78,1.9641,0.4363,0.4039
19.88,1.9829,0.4523,0.473
19.9,2.0099,0.4731,0.4891
20.08,2.0295,0.4894,0.6071
20.3,2.0599,0.5191,0.6395
20.38,2.0915,0.5445,0.6281
20.42,2.0731,0.5231,0.6395
20.5,2.1091,0.5763,0.742
20.58,2.1835,0.6805,0.8746
20.78,2.1712,0.7305,1.12
20.9,2.1946,0.788,1.2526
21.0,2.1852,0.8371,1.3562
21.04,2.199,0.8225,1.3257
21.08,2.1986,0.8609,1.4095
21.18,2.1978,0.9077,1.5065
21.28,2.1896,0.9517,1.6043
21.3,2.183,0.9711,1.6446
21.38,2.1731,0.9991,1.7026
21.6,2.1888,0.9753,1.7161
21.9,2.1723,1.0317,1.7309
21.94,2.1646,1.0909,1.7639
22.04,2.1716,1.0642,1.7372
22.14,2.1815,1.0338,1.7338
22.6,2.2636,0.8793,1.7179
22.7,2.2729,0.8407,1.7567
23.2,2.2408,0.9376,1.7864
23.34,2.2602,0.8628,1.7802
23.4,2.2728,0.8135,1.7837
23.44,2.261,0.8493,1.7717
23.5,2.257,0.8719,1.7726
23.7,2.2342,1.0007,1.7731
23.8,2.2242,1.0439,1.769
23.9,2.2386,0.9852,1.7658
24.3,2.2354,1.0859,1.6836
24.44,2.2382,1.0349,1.6897
25.1,2.2344,1.08,1.6748
25.2,2.2383,1.1072,1.581
25.3,2.2402,1.083,1.5975
25.78,2.2309,1.1268,1.6368
25.84,2.2264,1.1728,1.636
25.88,2.2239,1.216,1.6384
25.94,2.2227,1.2394,1.6371
25.98,2.2212,1.2814,1.6374
26.08,2.2148,1.319,1.6389
26.18,2.2096,1.3769,1.6397
26.28,2.2065,1.4262,1.6363
26.38,2.2043,1.4791,1.6383
26.48,2.2026,1.526,1.6371
