t,x,y,yaw
0.0,-0.0169,-0.0225,-0.0005
3.84,0.2228,0.0139,-0.0012
11.5,0.3321,0.007,-0.0862
11.6,0.2836,0.0076,-0.1499
12.0,0.3812,0.0005,-0.1201
12.115,0.3391,-0.0029,-0.1894
12.515,0.4445,-0.0304,-0.2026
12.54,0.4198,-0.0259,-0.2665
12.6,0.469,-0.0471,-0.3912
12.7,0.4235,-0.0446,-0.4242
13.08,0.4716,-0.0575,-0.3562
13.1,0.5061,-0.0698,-0.3679
13.2,0.4519,-0.0527,-0.3737
13.5,0.5058,-0.0609,-0.3065
13.98,0.5337,-0.0682,-0.2664
14.0,0.58,-0.0771,-0.2668
14.08,0.6151,-0.0815,-0.218
14.1,0.6507,-0.0813,-0.1966
14.18,0.6808,-0.0932,-0.1353
14.2,0.6581,-0.0852,-0.113
14.28,0.5368,-0.0495,-0.1542
14.38,0.5856,-0.0652,-0.1966
14.48,0.6378,-0.082,-0.2011
14.5,0.6941,-0.0902,-0.2006
14.58,0.72,-0.0944,-0.1724
14.6,0.7475,-0.0918,-0.1361
14.68,0.8059,-0.0679,0.0485
14.8,0.7661,-0.073,0.1095
15.08,0.7879,-0.0798,-0.0388
15.1,0.8406,-0.0821,-0.0388
15.18,0.8772,-0.0837,-0.0441
15.2,0.9093,-0.0863,-0.0445
15.28,0.939,-0.0853,-0.044
15.38,0.9889,-0.0866,-0.0399
15.48,1.0389,-0.0882,-0.0399
15.5,1.0592,-0.0898,-0.0423
15.58,1.0873,-0.0947,-0.0441
15.68,1.1378,-0.0921,-0.041
15.7,1.1578,-0.0933,-0.0422
15.78,1.1892,-0.0986,-0.0414
15.88,1.2402,-0.0974,-0.0401
15.98,1.2875,-0.103,-0.0416
16.02,1.3118,-0.1039,-0.0413
16.08,1.3397,-0.1011,-0.04
16.1,1.3602,-0.1005,-0.0399
16.18,1.3894,-0.1017,-0.0391
16.3,1.4585,-0.104,-0.0393
16.4,1.5107,-0.1081,-0.0403
16.5,1.5581,-0.1076,-0.0388
